feature,top_motif,rpb,rpb_abs,mutual_info,precision,recall,f1_score,max_other_rpb,interpretable,monosemantic
z496,in_feedback_loop,0.11426783382008528,0.11426783382008528,0.011699838383018484,0.448,0.09621993127147767,0.15841584158415842,0.08018375226886806,False,False
z145,in_feedback_loop,0.1000544531629239,0.1000544531629239,0.004748088633073484,0.404,0.08676975945017182,0.14285714285714285,0.07260589532006083,False,False
z301,in_single_input_module,-0.09310910623000737,0.09310910623000737,0.00691150371771216,0.084,0.018935978358881875,0.030905077262693155,0.08186287115554766,False,False
z77,in_single_input_module,-0.08576172152167263,0.08576172152167263,0.00611147155596503,0.092,0.020739404869251576,0.033848417954378214,0.07778824871037901,False,False
z467,in_feedback_loop,0.07215409054795655,0.07215409054795655,0.006308105577754819,0.336,0.07216494845360824,0.11881188118811879,0.01750543541929829,False,False
z120,in_single_input_module,-0.06554241747353412,0.06554241747353412,0.00456198242311269,0.096,0.02164111812443643,0.03532008830022075,0.03778777092341004,False,False
z316,in_feedback_loop,0.06412745821179133,0.06412745821179133,0.0029695284275706698,0.36,0.07731958762886598,0.1272984441301273,0.058527478977275386,False,False
z125,in_single_input_module,-0.06014972662768986,0.06014972662768986,0.003193302354517947,0.124,0.027953110910730387,0.045621780721118464,0.024183078125660163,False,False
z307,in_feedback_loop,0.058770146585722924,0.058770146585722924,0.025372138338059905,0.376,0.08075601374570447,0.13295615275813297,0.03196601931556434,False,False
z217,in_single_input_module,0.05225128940770354,0.05225128940770354,0.003624289709526429,0.276,0.062218214607754736,0.10154525386313466,0.04017564478530624,False,False
z137,in_single_input_module,-0.05112104652274872,0.05112104652274872,0.010112943448582708,0.148,0.033363390441839495,0.05445180279617365,0.013017701453537003,False,False
z103,in_single_input_module,-0.05039508723524716,0.05039508723524716,0.0036431278091881725,0.132,0.029756537421100092,0.04856512141280354,0.03120668096133595,False,False
z19,in_feedback_loop,0.046250740488450764,0.046250740488450764,0.001636825271541679,0.37037037037037035,0.0429553264604811,0.07698229407236336,0.04594695624294799,False,False
z509,in_feedback_loop,0.045992217269228156,0.045992217269228156,0.002573668199488589,0.348,0.07474226804123711,0.12305516265912304,0.03714845624623237,False,False
z381,in_single_input_module,-0.044858958214729294,0.044858958214729294,0.005940325762475959,0.136,0.030658250676284943,0.05003679175864607,0.02044843789779109,False,False
z323,in_feedforward_loop,-0.04360314346782805,0.04360314346782805,0.001855206152189548,0.168,0.03763440860215054,0.06149341142020499,0.03064013695943923,False,False
z156,in_feedback_loop,-0.04341703139792173,0.04341703139792173,0.001876290457967042,0.18518518518518517,0.01288659793814433,0.024096385542168672,0.007962631795963184,False,False
z409,in_single_input_module,-0.04303116089231512,0.04303116089231512,0.0020755290524662904,0.136,0.030658250676284943,0.05003679175864607,0.012163375263599122,False,False
z133,in_cascade,0.04179505420534527,0.04179505420534527,0.0018247984717636601,0.4074074074074074,0.011363636363636364,0.022110552763819097,0.029763153859309978,False,False
z298,in_single_input_module,-0.04154951637620384,0.04154951637620384,0.0060035293892741265,0.152,0.034265103697024346,0.055923473142016185,0.015711041855999204,False,False
z262,in_feedback_loop,-0.04136770433807505,0.04136770433807505,0.0024136869198387555,0.08163265306122448,0.006872852233676976,0.012678288431061805,0.013693165801988719,False,False
z341,in_single_input_module,-0.04036560289314951,0.04036560289314951,0.0034576014844449237,0.132,0.029756537421100092,0.04856512141280354,0.02141061542409079,False,False
z278,in_feedforward_loop,-0.040171402298119066,0.040171402298119066,0.0015070540657819884,0.1859504132231405,0.04032258064516129,0.0662739322533137,0.020576283373801157,False,False
z393,in_single_input_module,-0.039013309308594986,0.039013309308594986,0.0030553941856932823,0.116,0.026149684400360685,0.04267844002943341,0.011965285362024042,False,False
z408,in_cascade,0.038568781983383385,0.038568781983383385,0.001468415345713659,0.25229357798165136,0.056818181818181816,0.09274873524451939,0.0374311256211311,False,False
z274,in_feedback_loop,-0.03789779903614075,0.03789779903614075,0.0021090357004243353,0.244,0.05240549828178694,0.08628005657708629,0.022863619198875005,False,False
z95,in_single_input_module,0.037469483174866314,0.037469483174866314,0.0006026725732800357,1.0,0.0018034265103697023,0.0036003600360036,0.011019199638472324,False,False
z259,in_feedback_loop,-0.03736025479830283,0.03736025479830283,0.0010012430436158813,0.1259259259259259,0.014604810996563574,0.02617397998460354,0.01765625558603721,False,False
z455,in_single_input_module,0.037349034768462096,0.037349034768462096,0.007278751289379449,0.08,0.018034265103697024,0.029433406916850622,0.02071025320666145,False,False
z326,in_feedback_loop,0.03630664278768464,0.03630664278768464,0.013879560283871342,0.324,0.06958762886597938,0.11456859971711457,0.03113649649030107,False,False
z6,in_single_input_module,-0.03603285543016943,0.03603285543016943,0.00803715804726033,0.208,0.046889089269612265,0.07652685798381163,0.008808674260969405,False,False
z268,in_single_input_module,-0.035676280058432694,0.035676280058432694,0.0035345564396624504,0.132,0.029756537421100092,0.04856512141280354,0.029175755845323195,False,False
z43,in_single_input_module,-0.03567550908877254,0.03567550908877254,0.0016715226424004312,0.10434782608695652,0.02164111812443643,0.035847647498132934,0.012157547671398863,False,False
z25,in_feedback_loop,-0.035611537078789286,0.035611537078789286,0.0017718265961065864,0.1875,0.023195876288659795,0.04128440366972477,0.014958683635521155,False,False
z45,in_feedback_loop,-0.03560559005070361,0.03560559005070361,0.001282215281385148,0.05263157894736842,0.001718213058419244,0.0033277870216306153,0.020624966205889203,False,False
z229,in_feedback_loop,-0.035360219426297315,0.035360219426297315,0.0019919552146978824,0.308,0.0661512027491409,0.10891089108910892,0.026353374343060683,False,False
z51,in_single_input_module,0.03407698336155038,0.03407698336155038,0.001075958032203135,0.42857142857142855,0.005410279531109108,0.01068566340160285,0.019343643040649585,False,False
z52,in_cascade,-0.03388032564484586,0.03388032564484586,0.0011499135151820355,0.148,0.038223140495867766,0.06075533661740558,0.028325960546784462,False,False
z236,in_feedback_loop,-0.03385035281055431,0.03385035281055431,0.0010350217426947756,0.256,0.054982817869415807,0.09052333804809051,0.026940978331247267,False,False
z206,in_feedback_loop,0.033737335966719934,0.033737335966719934,0.01705782050350734,0.324,0.06958762886597938,0.11456859971711457,0.01823215471519302,False,False
z177,in_feedback_loop,0.033363794791215706,0.033363794791215706,0.0005998120385919442,0.5714285714285714,0.003436426116838488,0.006831767719897524,0.013378187228483029,False,False
