latent_dim,k,sparsity_pct,n_features_tested,n_active_features,dead_feature_rate,max_rpb_abs,max_rpb_feature,max_rpb_motif,best_f1,best_f1_feature,best_f1_motif,best_precision,best_recall,test_reconstruction,composite_score,description,significance_tested,n_significant_features,max_significant_rpb
128,16,12.5,36,36,0.71875,0.23935893670180142,z50,in_feedback_loop,0.18795620437956206,z105,in_single_input_module,1.0,0.11495535714285714,6.55483542999491e-08,0.34733110823464813,"Low capacity, moderate sparsity",True,38,0.23935893670180142
256,32,12.5,72,72,0.71875,0.23926731093617357,z224,in_feedback_loop,0.17153284671532848,z203,in_single_input_module,1.0,0.10491071428571429,3.145988491937146e-08,0.34149130728653854,"Medium capacity, low sparsity",True,85,0.23926731093617357
128,8,6.25,22,22,0.828125,0.23917866037626606,z85,in_feedback_loop,0.14051094890510948,z113,in_single_input_module,1.0,0.0859375,2.0820447765856898e-07,0.31413874249305435,"Low capacity, high sparsity",True,21,0.23917866037626606
512,32,6.25,75,75,0.853515625,0.23728345754323577,z102,in_feedback_loop,0.1551094890510949,z32,in_single_input_module,1.0,0.09486607142857142,2.9279903390744266e-08,0.31354443496111895,"High capacity, low sparsity",False,,
256,8,3.125,21,21,0.91796875,0.24147628695440157,z252,in_feedback_loop,0.1678832116788321,z61,in_single_input_module,0.46,0.10267857142857142,1.214867335619374e-07,0.31254009854199283,"Medium capacity, high sparsity",False,,
512,16,3.125,41,41,0.919921875,0.23800986921220868,z337,in_feedback_loop,0.1697080291970803,z155,in_single_input_module,1.0,0.10379464285714286,7.065243146087141e-08,0.3094193981811868,"High capacity, moderate sparsity",False,,
256,16,6.25,41,41,0.83984375,0.23969377864324648,z204,in_feedback_loop,0.12909090909090906,z118,in_feedforward_loop,1.0,0.07888888888888888,6.736804802898178e-08,0.30889903432506466,"Medium capacity, moderate sparsity",False,,
128,4,3.125,11,11,0.9140625,0.24037087710029587,z79,in_feedback_loop,0.11496350364963503,z52,in_single_input_module,1.0,0.0703125,3.2400427940615373e-07,0.2934987283776681,"Low capacity, low sparsity",False,,
512,8,1.5625,24,24,0.953125,0.23958637059599405,z228,in_feedback_loop,0.12043795620437957,z50,in_single_input_module,1.0,0.07366071428571429,1.2399081938951895e-07,0.2887709052675269,"High capacity, high sparsity",False,,
256,4,1.5625,12,12,0.953125,0.2396497467397262,z65,in_feedback_loop,0.11333333333333333,z102,in_feedback_loop,1.0,0.06888888888888889,3.283314029545181e-07,0.28634766340639284,"Medium capacity, very low sparsity",False,,
512,4,0.78125,14,14,0.97265625,0.11697481501779228,z209,in_feedback_loop,0.11333333333333333,z209,in_feedback_loop,1.0,0.068,2.2384471520808802e-07,0.16074304418445892,"High capacity, very low sparsity",False,,
