feature,in_cascade,in_feedback_loop,in_feedforward_loop,in_single_input_module
z36,0.05512979194504886,0.031211487248026318,0.05032484219622919,0.01723867637571433
z360,,,,
z361,,,,
z362,,,,
z363,,,,
z364,,,,
z365,,,,
z366,,,,
z367,,,,
z368,,,,
z369,,,,
z37,,,,
z370,,,,
z371,,,,
z372,,,,
z373,-0.02079794418704116,0.0263512461405654,-0.0060064431715340216,-0.01878983323080278
z374,0.002308330857946024,0.04931855858896189,-0.008242531782084854,-0.011141526248650734
z375,,,,
z376,,,,
z377,,,,
z378,,,,
z379,,,,
z38,,,,
z380,,,,
z381,,,,
z382,,,,
z383,,,,
z384,,,,
z385,-0.08664792872292679,-0.06204108725601602,-0.05860177527477432,0.018172083823126548
z386,0.09404734205544549,0.07998081989166878,0.10282973859997857,0.034685346800873935
z387,,,,
z388,,,,
z389,0.12073587369758815,0.05765191489867113,0.11013698460625777,0.029000159300217352
z39,,,,
z390,,,,
z391,,,,
z392,,,,
z393,,,,
z394,-0.010626403315464814,0.037430363256184346,-0.026776751946677148,-0.02208291906734208
z395,,,,
z396,,,,
z397,,,,
z398,,,,
z399,,,,
z4,,,,
z40,,,,
z400,,,,
z401,,,,
z402,,,,
z403,,,,
z404,,,,
z405,,,,
z406,,,,
z407,,,,
z408,,,,
z409,0.1376584256745128,0.08301682678318209,0.12811613510411185,0.0387041569882484
z41,,,,
z410,,,,
z411,,,,
z412,,,,
z413,,,,
z414,,,,
z415,,,,
z416,,,,
z417,-0.015760229374222147,0.05191421788745212,-0.03624617287736784,-0.034132460596701386
z418,,,,
z419,,,,
z42,-0.026842204022510502,0.03209074115372476,-0.006012114786391228,-0.028743252528306795
z420,,,,
z421,,,,
z422,,,,
z423,,,,
z424,,,,
z425,,,,
z426,,,,
z427,,,,
z428,,,,
z429,,,,
z43,0.04962378073505933,0.07913257920555067,0.047019305483891834,0.003919104451261715
z430,,,,
z431,,,,
z432,,,,
z433,,,,
z434,,,,
z435,,,,
z436,,,,
z437,0.015545707693043998,0.03524893792375026,-0.017415807601403113,-0.02790062795862733
z438,,,,
z439,,,,
z44,,,,
z440,,,,
z441,,,,
z442,,,,
z443,,,,
z444,,,,
z445,,,,
z446,,,,
z447,,,,
z448,,,,
z449,,,,
z45,,,,
z450,,,,
z451,-0.005965175234420794,0.02845368390992173,-0.007478658208667903,-0.004337831513017945
z452,,,,
z453,,,,
z454,,,,
z455,0.08374750252433631,0.12968555750411598,0.08600050281859041,-0.021482089203608126
z456,,,,
z457,,,,
z458,,,,
z459,,,,
z46,,,,
z460,,,,
z461,,,,
z462,,,,
z463,,,,
z464,,,,
z465,,,,
z466,,,,
z467,0.08927582626054396,0.09590684087362869,0.09772747077420531,0.020906896326622914
z468,0.08930456140420184,0.03845017042042211,0.09327123763687417,0.02202369003874374
z469,,,,
z47,,,,
z470,,,,
z471,,,,
z472,,,,
z473,,,,
z474,,,,
z475,,,,
z476,,,,
z477,,,,
z478,,,,
z479,-0.012550191632559228,0.05387683515790667,-0.02650123763659039,-0.03149887672376481
z48,,,,
z480,,,,
z481,,,,
z482,,,,
z483,,,,
z484,,,,
z485,,,,
z486,,,,
z487,,,,
z488,0.07375349387049135,0.05514797665659399,0.09190312308225862,0.0666338614070047
z489,-0.02502828421418726,0.042799700307102714,-0.018314127991203848,-0.032456824194334835
z49,,,,
z490,,,,
z491,,,,
z492,-0.04104950975563258,0.07404427859609689,-0.03387739181683665,-0.05642018875317907
z493,,,,
z494,,,,
z495,,,,
z496,,,,
z497,,,,
z498,,,,
z499,,,,
z5,0.1533466495984082,0.14842791785049458,0.14202956604425931,0.042464686743041255
z50,,,,
z500,,,,
z501,,,,
z502,,,,
z503,,,,
z504,,,,
z505,,,,
z506,,,,
z507,,,,
z508,,,,
z509,,,,
z51,,,,
z510,,,,
z511,,,,
z512,,,,
z52,,,,
z53,,,,
z54,,,,
z55,,,,
z56,,,,
z57,,,,
z58,-0.0228762356508218,-0.029941768017048814,-0.014266972985164803,0.0192304855250259
z59,,,,
z6,0.1318567644641099,0.1334746961631202,0.14572794142379972,0.025012155574966752
z60,,,,
z61,,,,
z62,,,,
z63,,,,
z64,,,,
z65,,,,
z66,,,,
z67,,,,
z68,,,,
z69,,,,
z7,,,,
z70,,,,
z71,,,,
z72,,,,
z73,,,,
z74,0.1584848603261944,0.1395265837208982,0.15254797020987193,0.07214050534717141
z75,,,,
z76,,,,
z77,,,,
z78,,,,
z79,,,,
z8,,,,
z80,,,,
z81,,,,
z82,,,,
z83,,,,
z84,,,,
z85,,,,
z86,,,,
z87,,,,
z88,,,,
z89,,,,
z9,,,,
z90,,,,
z91,,,,
z92,,,,
z93,,,,
z94,,,,
z95,,,,
z96,,,,
z97,,,,
z98,,,,
z99,,,,
