number,value,datetime_start,datetime_complete,duration,params_batch_size,params_dropout,params_hidden_dim,params_learning_rate,state
33,0.003151369020342827,2025-11-23 01:53:19.877111,2025-11-23 01:57:53.521442,0 days 00:04:33.644331,16,0.35000000000000003,80,0.04812321677791614,COMPLETE
34,0.003245089525500169,2025-11-23 01:57:53.523884,2025-11-23 02:02:41.910079,0 days 00:04:48.386195,32,0.25,144,0.007359974431492626,COMPLETE
35,0.24274475872516632,2025-11-23 02:02:41.912229,2025-11-23 02:02:53.607438,0 days 00:00:11.695209,128,0.1,168,0.0005094026751695038,PRUNED
36,0.030307373255491255,2025-11-23 02:02:53.609600,2025-11-23 02:03:05.476598,0 days 00:00:11.866998,16,0.15000000000000002,248,0.0020980785583143606,PRUNED
37,0.20752464294433592,2025-11-23 02:03:05.478628,2025-11-23 02:03:17.950828,0 days 00:00:12.472200,16,0.2,72,0.00023280962240396962,PRUNED
38,0.23490310087800026,2025-11-23 02:03:17.953277,2025-11-23 02:03:29.568929,0 days 00:00:11.615652,128,0.45,152,0.0008808790736057651,PRUNED
39,0.25511584602869475,2025-11-23 02:03:29.570971,2025-11-23 02:03:41.059641,0 days 00:00:11.488670,32,0.15000000000000002,64,4.543333427377927e-05,PRUNED
40,0.002940613161107259,2025-11-23 02:03:41.061731,2025-11-23 02:08:51.709528,0 days 00:05:10.647797,64,0.30000000000000004,200,0.01629679946244215,COMPLETE
41,0.004621964280626604,2025-11-23 02:08:51.711623,2025-11-23 02:09:02.806991,0 days 00:00:11.095368,64,0.30000000000000004,200,0.01702807845763946,PRUNED
42,0.0032760107424110174,2025-11-23 02:09:02.809100,2025-11-23 02:12:59.198894,0 days 00:03:56.389794,64,0.30000000000000004,216,0.027614678875646104,COMPLETE
43,0.09764688249145236,2025-11-23 02:12:59.201209,2025-11-23 02:13:10.706709,0 days 00:00:11.505500,64,0.4,232,0.0040623299479382625,PRUNED
44,0.003074349378169115,2025-11-23 02:13:10.708707,2025-11-23 02:20:52.103769,0 days 00:07:41.395062,64,0.25,176,0.014445611867247478,COMPLETE
45,0.006938679376617074,2025-11-23 02:20:52.106117,2025-11-23 02:21:02.886005,0 days 00:00:10.779888,128,0.30000000000000004,40,0.057830996436601306,PRUNED
46,0.0031662709452211857,2025-11-23 02:21:02.888074,2025-11-23 02:26:36.491458,0 days 00:05:33.603384,16,0.0,16,0.008612163120026517,COMPLETE
47,0.1934066947017397,2025-11-23 02:26:36.494031,2025-11-23 02:26:47.296453,0 days 00:00:10.802422,64,0.45,200,0.0013262418663697124,PRUNED
48,0.011794114951044321,2025-11-23 02:26:47.298678,2025-11-23 02:26:57.994199,0 days 00:00:10.695521,128,0.25,160,0.033725777543828925,PRUNED
49,0.055853997490235736,2025-11-23 02:26:57.996384,2025-11-23 02:27:08.811686,0 days 00:00:10.815302,64,0.1,128,0.005927939767167828,PRUNED
