Feature_Set,Motif,N_Features,N_Graphs,Mean_Impact,Std_Impact,SE_Impact
Feedback Loop,Cascade,17,217,-2.9188860496805384e-05,0.0005550249600367892,3.767754934597199e-05
Feedback Loop,Feedforward Loop,17,739,4.821493029463892e-05,0.0007159815819758745,2.6337808243472478e-05
Feedback Loop,Feedback Loop,17,27,0.000160542796409035,0.0005820545404519551,0.00011201644853766006
Feedback Loop,Single Input Module,17,17,1.620891485158167e-05,0.0004246405129317169,0.00010299045221964299
Single Input Module,Cascade,13,217,-1.8690494658725472e-05,0.00028200433539612784,1.9143701684986133e-05
Single Input Module,Feedforward Loop,13,739,1.943125262934532e-05,0.0003554132810175046,1.3074088884786217e-05
Single Input Module,Feedback Loop,13,27,5.825167991806691e-05,0.0002813613535060865,5.4148017728765495e-05
Single Input Module,Single Input Module,13,17,1.1581738791018801e-05,0.00020400451349298626,4.947836219025444e-05
