Feature_Set,Motif,N_Features,N_Graphs,Mean_Impact,Std_Impact,SE_Impact
Feedback Loop,Cascade,58,100,9.015674364414041e-06,6.249828144471675e-05,6.249828144471675e-06
Feedback Loop,Feedforward Loop,58,100,2.2844770643730165e-06,0.0001082406775602307,1.0824067756023069e-05
Feedback Loop,Feedback Loop,58,100,0.00023171963447096366,0.000670418437864054,6.704184378640541e-05
Feedback Loop,Single Input Module,58,100,-4.202473578562622e-07,2.7694345571760602e-05,2.76943455717606e-06
Single Input Module,Cascade,25,100,3.7882000562630857e-06,1.9301415400600213e-05,1.9301415400600215e-06
Single Input Module,Feedforward Loop,25,100,-1.6550842590323574e-07,9.825334064405302e-06,9.825334064405302e-07
Single Input Module,Feedback Loop,25,100,8.471302091051547e-05,0.000505793141764334,5.05793141764334e-05
Single Input Module,Single Input Module,25,100,-1.9881744896226838e-07,2.3387073699773563e-06,2.3387073699773563e-07
