Feature_Set,Motif,N,Mean_Impact,Std_Impact,SE_Impact
Feedback Loop,Cascade,126,-1.7898167536783915e-05,0.00010854208343763006,9.669697339767667e-06
Feedback Loop,Feedforward Loop,121,1.018967718105783e-05,0.00010582473878770463,9.620430798882239e-06
Feedback Loop,Single Input Module,140,-7.079293669302014e-05,0.0004494668723204328,3.7986883950113266e-05
Feedback Loop,Feedback Loop,113,0.00015749003494846514,0.0007998739381974606,7.524581057385229e-05
Single Input Module,Cascade,126,-5.987786798573426e-06,0.00024295212985336103,2.164389598329262e-05
Single Input Module,Feedforward Loop,121,7.576127264703508e-05,0.0004454048431061623,4.0491349373287485e-05
Single Input Module,Single Input Module,140,-5.163621812655534e-05,0.0004307770006927964,3.64073014974706e-05
Single Input Module,Feedback Loop,113,7.311449237250429e-05,0.00019513635729419008,1.835688434870024e-05
