trial,n_features,motif,mean_impact,median_impact,std_impact
0,3,Cascade,0.0,0.0,0.0
0,3,Feedforward Loop,0.0,0.0,0.0
0,3,Feedback Loop,0.0,0.0,0.0
0,3,Single Input Module,0.0,0.0,0.0
1,3,Cascade,6.096545116541128e-07,0.0,6.228862239738446e-06
1,3,Feedforward Loop,1.0724011190177407e-07,0.0,9.37766818140571e-06
1,3,Feedback Loop,-1.5910645559397197e-06,0.0,3.7586850084355434e-06
1,3,Single Input Module,-2.0307605523714524e-07,0.0,2.3922868999554375e-06
2,3,Cascade,7.235087892063138e-06,0.0,7.21803628302739e-05
2,3,Feedforward Loop,3.596860060916008e-06,0.0,0.0001255152010683135
2,3,Feedback Loop,0.00022821543505854172,0.0001021383795887,0.00041023073960372183
2,3,Single Input Module,-9.73397417807816e-08,1.0249204933643341e-06,3.209789138185889e-05
3,3,Cascade,0.0,0.0,0.0
3,3,Feedforward Loop,0.0,0.0,0.0
3,3,Feedback Loop,0.0,0.0,0.0
3,3,Single Input Module,0.0,0.0,0.0
4,3,Cascade,2.3152454986655133e-06,0.0,2.529043446567048e-05
4,3,Feedforward Loop,4.496423130417449e-07,0.0,4.3554655288621566e-05
4,3,Feedback Loop,3.3863052522057434e-05,1.5251338481903076e-05,8.811418479801621e-05
4,3,Single Input Module,-6.785752973947447e-07,0.0,1.1171807987974711e-05
5,3,Cascade,-5.28797444326765e-07,0.0,4.101682210778692e-06
5,3,Feedforward Loop,0.0,0.0,0.0
5,3,Feedback Loop,2.7740434766975594e-05,0.0,8.249660320531243e-05
5,3,Single Input Module,0.0,0.0,0.0
6,3,Cascade,2.0434096805562446e-06,1.1874362826347352e-07,1.682141525162598e-05
6,3,Feedforward Loop,3.0505375712973434e-07,0.0,2.813399114596822e-05
6,3,Feedback Loop,0.0001404617489444767,4.653702490031719e-05,0.0002669780263992539
6,3,Single Input Module,-5.166667275419486e-07,0.0,7.212976197696304e-06
7,3,Cascade,0.0,0.0,0.0
7,3,Feedforward Loop,0.0,0.0,0.0
7,3,Feedback Loop,0.0,0.0,0.0
7,3,Single Input Module,0.0,0.0,0.0
8,3,Cascade,0.0,0.0,0.0
8,3,Feedforward Loop,0.0,0.0,0.0
8,3,Feedback Loop,-1.839771302360477e-06,0.0,8.773610501417027e-06
8,3,Single Input Module,0.0,0.0,0.0
9,3,Cascade,1.9735248037138763e-07,0.0,1.4908109142617954e-06
9,3,Feedforward Loop,0.0,0.0,0.0
9,3,Feedback Loop,-8.271022869104689e-06,-2.014916390180588e-06,1.4542921755656813e-05
9,3,Single Input Module,0.0,0.0,0.0
10,3,Cascade,0.0,0.0,0.0
10,3,Feedforward Loop,0.0,0.0,0.0
10,3,Feedback Loop,0.0,0.0,0.0
10,3,Single Input Module,0.0,0.0,0.0
11,3,Cascade,-1.1423697436171375e-06,0.0,5.052862033257719e-06
11,3,Feedforward Loop,0.0,0.0,0.0
11,3,Feedback Loop,5.8083723280378657e-05,1.364387571811676e-05,0.00010469560575723182
11,3,Single Input Module,0.0,0.0,0.0
12,3,Cascade,-1.2927066285444699e-07,0.0,5.816799524780691e-07
12,3,Feedforward Loop,0.0,0.0,0.0
12,3,Feedback Loop,-1.6483948025097865e-05,0.0,3.947747304526743e-05
12,3,Single Input Module,0.0,0.0,0.0
13,3,Cascade,-1.3618429071422206e-06,0.0,8.085135811111214e-06
13,3,Feedforward Loop,-1.2633104141022343e-08,0.0,1.699976739957402e-06
13,3,Feedback Loop,-2.637057038343497e-05,-1.7033424228429794e-05,0.00023894760224122584
13,3,Single Input Module,0.0,0.0,0.0
14,3,Cascade,2.1351520352217615e-08,0.0,1.971418875507381e-07
14,3,Feedforward Loop,1.4801376632281712e-08,0.0,1.8002390042191514e-07
14,3,Feedback Loop,9.355558590455489e-08,0.0,1.2620037587093764e-06
14,3,Single Input Module,0.0,0.0,0.0
15,3,Cascade,0.0,0.0,0.0
15,3,Feedforward Loop,0.0,0.0,0.0
15,3,Feedback Loop,-1.3710366505563638e-05,0.0,6.923037355380478e-05
15,3,Single Input Module,0.0,0.0,0.0
16,3,Cascade,-2.2197197852489936e-06,0.0,1.7618899852324917e-05
16,3,Feedforward Loop,1.749537487945615e-07,0.0,3.0378759303768948e-05
16,3,Feedback Loop,6.505358058604036e-05,2.7013011276721954e-05,0.00010197544411533358
16,3,Single Input Module,8.829056369273641e-07,0.0,7.825117086369157e-06
17,3,Cascade,0.0,0.0,0.0
17,3,Feedforward Loop,0.0,0.0,0.0
17,3,Feedback Loop,-1.839771302360477e-06,0.0,8.773610501417027e-06
17,3,Single Input Module,0.0,0.0,0.0
18,3,Cascade,7.304157815249861e-06,0.0,7.226828089155854e-05
18,3,Feedforward Loop,3.596860060916008e-06,0.0,0.0001255152010683135
18,3,Feedback Loop,0.00020794077308798107,0.0001021383795887,0.00034414553898885845
18,3,Single Input Module,-9.73397417807816e-08,1.0249204933643341e-06,3.209789138185889e-05
19,3,Cascade,2.0912943445906346e-07,0.0,2.6632710494231695e-06
19,3,Feedforward Loop,0.0,0.0,0.0
19,3,Feedback Loop,-4.733740022838007e-05,0.0,0.00013586069900570918
19,3,Single Input Module,0.0,0.0,0.0
