trial,n_features,motif,mean_impact,median_impact,std_impact
0,22,Cascade,-2.43220744536933e-06,0.0,9.228588051385486e-06
0,22,Feedforward Loop,0.0,0.0,0.0
0,22,Feedback Loop,5.607991808591646e-06,2.635596320033073e-05,0.00030869470555887774
0,22,Single Input Module,0.0,0.0,0.0
1,22,Cascade,6.370496614218443e-07,0.0,1.0814419518075416e-05
1,22,Feedforward Loop,0.0,0.0,0.0
1,22,Feedback Loop,-0.0002354047686858499,-0.00011120387353,0.0003356141940614408
1,22,Single Input Module,0.0,0.0,0.0
2,22,Cascade,1.2379508062826508e-06,0.0,6.4245516940540515e-06
2,22,Feedforward Loop,0.0,0.0,0.0
2,22,Feedback Loop,5.664140799768466e-05,1.658010296523571e-05,8.768633526038556e-05
2,22,Single Input Module,0.0,0.0,0.0
3,22,Cascade,-6.286844632550313e-07,0.0,6.483478137083252e-06
3,22,Feedforward Loop,-2.0226204413825607e-07,0.0,1.034169780695456e-06
3,22,Feedback Loop,-3.129878960963498e-05,-1.194886863231659e-06,0.00013160985475274607
3,22,Single Input Module,0.0,0.0,0.0
4,22,Cascade,-6.603381456332092e-07,0.0,1.2548862618493965e-05
4,22,Feedforward Loop,-1.4869796619417945e-07,0.0,3.551317413622565e-06
4,22,Feedback Loop,0.00016931534246209795,8.767307735979557e-05,0.00021248714170334963
4,22,Single Input Module,0.0,0.0,0.0
5,22,Cascade,-1.382578950736444e-07,0.0,9.136932312648395e-06
5,22,Feedforward Loop,0.0,0.0,0.0
5,22,Feedback Loop,-0.00023043231751692872,0.0,0.0004249915787121191
5,22,Single Input Module,0.0,0.0,0.0
6,22,Cascade,9.479537060987965e-07,0.0,1.3233636079786168e-05
6,22,Feedforward Loop,-1.4869796619417945e-07,0.0,3.551317413622565e-06
6,22,Feedback Loop,0.00021261626600539742,9.611714631319046e-05,0.00033262193261591495
6,22,Single Input Module,0.0,0.0,0.0
7,22,Cascade,8.114730007946491e-07,0.0,1.0753131637454631e-05
7,22,Feedforward Loop,-2.0226204413825607e-07,0.0,1.034169780695456e-06
7,22,Feedback Loop,-4.5627891791580424e-05,4.535075277090073e-06,0.0001747779763520612
7,22,Single Input Module,0.0,0.0,0.0
8,22,Cascade,1.6294729810360134e-08,0.0,1.62794398783867e-05
8,22,Feedforward Loop,2.525034966422435e-07,0.0,6.2507333591600805e-06
8,22,Feedback Loop,1.5644685863840773e-05,0.0,5.153310187400804e-05
8,22,Single Input Module,0.0,0.0,0.0
9,22,Cascade,1.060162485002217e-06,0.0,5.941137373079889e-06
9,22,Feedforward Loop,0.0,0.0,0.0
9,22,Feedback Loop,-5.089160116069484e-05,0.0,0.0002820563690116358
9,22,Single Input Module,0.0,0.0,0.0
10,22,Cascade,-2.9766685044278905e-08,0.0,8.33191156545591e-06
10,22,Feedforward Loop,0.0,0.0,0.0
10,22,Feedback Loop,-0.0002173634805725802,0.0,0.0004000177412172131
10,22,Single Input Module,0.0,0.0,0.0
11,22,Cascade,2.1176177198162342e-07,0.0,1.1717728275011968e-05
11,22,Feedforward Loop,-3.5095525868664664e-07,0.0,3.67483518247327e-06
11,22,Feedback Loop,-6.92924926753633e-06,3.06498259305954e-06,0.0001455782352431125
11,22,Single Input Module,0.0,0.0,0.0
12,22,Cascade,-1.9670442920210874e-06,0.0,1.690978714738425e-05
12,22,Feedforward Loop,0.0,0.0,0.0
12,22,Feedback Loop,0.0003143955219649706,0.0001193480566143,0.0005688808681294613
12,22,Single Input Module,0.0,0.0,0.0
13,22,Cascade,6.885017441794733e-07,0.0,1.0121650633063494e-05
13,22,Feedforward Loop,-1.4869796619417945e-07,0.0,3.551317413622565e-06
13,22,Feedback Loop,6.157235769233826e-06,0.0,9.52782739562241e-05
13,22,Single Input Module,0.0,0.0,0.0
14,22,Cascade,-5.6835845925332025e-08,0.0,1.0130321966977123e-05
14,22,Feedforward Loop,-1.4869796619417945e-07,0.0,3.551317413622565e-06
14,22,Feedback Loop,3.1467768213133245e-05,3.7779100239276886e-06,8.695496233234426e-05
14,22,Single Input Module,0.0,0.0,0.0
15,22,Cascade,1.0443037186929842e-06,0.0,1.1800843990710443e-05
15,22,Feedforward Loop,-1.4869796619417945e-07,0.0,3.551317413622565e-06
15,22,Feedback Loop,-9.10133516152421e-05,-2.361740916967392e-05,0.00016879174360640917
15,22,Single Input Module,0.0,0.0,0.0
16,22,Cascade,-1.386715852351365e-06,0.0,6.055096314228886e-06
16,22,Feedforward Loop,0.0,0.0,0.0
16,22,Feedback Loop,2.7254237934302164e-07,2.7616508305072784e-05,0.00018301409281287035
16,22,Single Input Module,0.0,0.0,0.0
17,22,Cascade,-1.9942251258596244e-06,0.0,7.232889173869875e-06
17,22,Feedforward Loop,-2.0226204413825607e-07,0.0,1.034169780695456e-06
17,22,Feedback Loop,9.058223628070946e-05,3.930600360035896e-05,0.00020243948346019324
17,22,Single Input Module,0.0,0.0,0.0
18,22,Cascade,-1.6485464955768914e-06,0.0,1.782558093069586e-05
18,22,Feedforward Loop,-1.4869796619417945e-07,0.0,3.551317413622565e-06
18,22,Feedback Loop,0.00022519688883963836,5.628797225654125e-05,0.00048262026207018414
18,22,Single Input Module,0.0,0.0,0.0
19,22,Cascade,-6.03850580495307e-07,0.0,1.004377487939673e-05
19,22,Feedforward Loop,0.0,0.0,0.0
19,22,Feedback Loop,0.00018179970393614412,4.003848880529404e-05,0.00036901522145253653
19,22,Single Input Module,0.0,0.0,0.0
