Motif,Loss (Original),Loss (Full SAE),Loss (Ablated)
Cascade,0.0056057849158865245,0.006131757166058673,0.010227440540954265
Cascade,0.0026585134122038335,0.0032349386320647358,0.008245736796874436
Feedforward Loop,0.01111919921848013,0.011604344077979424,0.012400614009161792
Feedback Loop,0.011423459240824909,0.011783437685723555,0.012898268917840124
Cascade,0.01638761447123806,0.016971183682444574,0.020841476827786955
Feedforward Loop,0.003217225218691945,0.003956213045913777,0.004654005806847921
Single Input Module,0.007628497064316911,0.008145469992755948,0.009190166952328773
Cascade,0.008205343114312208,0.008723694296620982,0.014076851919843647
Cascade,0.01699474675840717,0.017528507024614687,0.02211663005849222
Feedback Loop,0.016191205487470797,0.016646962249979667,0.017876317335759173
Single Input Module,0.013638747193227801,0.013917936538060414,0.015098325750397129
Feedforward Loop,0.012177826840106078,0.012627748201864318,0.014581257652819596
Cascade,0.008161944159073245,0.00847486496697066,0.013123351482929351
Single Input Module,0.009336148832378443,0.009650057844292978,0.01114852787843218
Single Input Module,0.008293933206091016,0.008883174288072537,0.009930984511017232
Single Input Module,0.01131413690165477,0.01162740171901786,0.012245006025540135
Single Input Module,0.007363206678484636,0.007897056319234078,0.008689412362283678
Feedforward Loop,0.010413048901675347,0.010961006994118656,0.012752522391096924
Feedforward Loop,0.0038818227149222725,0.004272683671192925,0.004864182951562478
Single Input Module,0.0037194317254209226,0.004285302237991898,0.004830723429449336
Feedforward Loop,0.01765854709847324,0.01826230109289903,0.019007292893471656
Single Input Module,0.008197609745581399,0.008923329573690712,0.00945651051905925
Single Input Module,0.016148611949811518,0.01660587115556657,0.017329548268893068
Cascade,0.015665757631366656,0.016168484101848544,0.021033383793933606
Cascade,0.011311764423604327,0.01173438550369397,0.015489730800382552
