number,value,datetime_start,datetime_complete,duration,params_batch_size,params_dropout,params_hidden_dim,params_learning_rate,params_num_heads,state
37,0.0042728692559259275,2025-11-23 20:13:00.510546,2025-11-23 20:13:11.954431,0 days 00:00:11.443885,64,0.0,16,0.013296753008873459,8,PRUNED
38,0.036949803084135056,2025-11-23 20:13:11.956428,2025-11-23 20:13:24.556388,0 days 00:00:12.599960,16,0.5,48,0.0005930091202584814,6,PRUNED
39,0.12430732009502557,2025-11-23 20:13:24.558642,2025-11-23 20:13:36.252446,0 days 00:00:11.693804,32,0.15000000000000002,72,8.089824404862198e-05,2,PRUNED
40,0.007121965289115906,2025-11-23 20:13:36.254451,2025-11-23 20:13:47.149147,0 days 00:00:10.894696,128,0.05,128,0.0017175729935836566,4,PRUNED
41,0.004350554323397004,2025-11-23 20:13:47.151149,2025-11-23 20:13:59.047818,0 days 00:00:11.896669,32,0.45,32,0.008375433308051064,6,PRUNED
42,0.014139000039834242,2025-11-23 20:13:59.049934,2025-11-23 20:14:10.657155,0 days 00:00:11.607221,32,0.5,16,0.00308899723503428,6,PRUNED
43,0.0039352296242633695,2025-11-23 20:14:10.659192,2025-11-23 20:14:34.052419,0 days 00:00:23.393227,32,0.4,40,0.006842231687763097,6,PRUNED
44,0.0030706956481131222,2025-11-23 20:14:34.054387,2025-11-23 20:24:18.384399,0 days 00:09:44.330012,32,0.45,32,0.03148523249494387,8,COMPLETE
45,0.004914626060053706,2025-11-23 20:24:18.386958,2025-11-23 20:24:30.757287,0 days 00:00:12.370329,16,0.4,24,0.011935078165849884,6,PRUNED
46,0.021709282882511616,2025-11-23 20:24:30.759340,2025-11-23 20:24:41.677539,0 days 00:00:10.918199,128,0.5,56,0.003996730971174063,4,PRUNED
47,0.004319175970382416,2025-11-23 20:24:41.679751,2025-11-23 20:24:53.582041,0 days 00:00:11.902290,32,0.45,48,0.05555717454986288,6,PRUNED
48,0.0042760261068386695,2025-11-23 20:24:53.584309,2025-11-23 20:25:05.287012,0 days 00:00:11.702703,64,0.35000000000000003,64,0.014028297751585279,2,PRUNED
49,0.004037493085488677,2025-11-23 20:25:05.289134,2025-11-23 20:25:17.826219,0 days 00:00:12.537085,16,0.4,24,0.017588511085657184,8,PRUNED
