graph_id,Motif,Loss (Original),Loss (Full SAE),Loss (Ablated),SAE Degradation,Ablation Impact
3397,Cascade,0.006401923485100269,0.0062590427696704865,0.006259915418922901,-0.00014288071542978287,8.726492524147034e-07
944,Feedforward Loop,0.0032855297904461622,0.0034469470847398043,0.0034469470847398043,0.00016141729429364204,0.0
1132,Feedback Loop,0.004718108102679253,0.00526514882221818,0.005294595379382372,0.0005470407195389271,2.94465571641922e-05
3776,Cascade,0.0032340914476662874,0.003227018052712083,0.003228100948035717,-7.073394954204559e-06,1.0828953236341476e-06
2201,Single Input Module,0.0005558812408708036,0.000569306721445173,0.000569306721445173,1.342548057436943e-05,0.0
1682,Feedback Loop,0.002509788842871785,0.002655157120898366,0.002655157120898366,0.0001453682780265808,0.0
3552,Cascade,0.00735851563513279,0.007458934560418129,0.007458934560418129,0.00010041892528533936,0.0
3842,Cascade,0.006516990717500448,0.0063462876714766026,0.006345253903418779,-0.00017070304602384567,-1.0337680578231812e-06
2374,Single Input Module,0.011918461881577969,0.011930425651371479,0.011930425651371479,1.1963769793510437e-05,0.0
433,Feedforward Loop,0.0028915507718920708,0.0028557940386235714,0.0028557940386235714,-3.5756733268499374e-05,0.0
551,Feedforward Loop,0.00652424106374383,0.006663311272859573,0.006663311272859573,0.00013907020911574364,0.0
1366,Feedback Loop,0.0025108749978244305,0.0029689546208828688,0.0030199820175766945,0.0004580796230584383,5.102739669382572e-05
2831,Single Input Module,0.001298317569307983,0.001303654513321817,0.001303654513321817,5.336944013834e-06,0.0
1451,Feedback Loop,0.006577994674444199,0.007406747899949551,0.008453900925815105,0.000828753225505352,0.0010471530258655548
3009,Cascade,0.0022769728675484657,0.00215534889139235,0.00215534889139235,-0.00012162397615611553,0.0
2899,Single Input Module,0.0005320753552950919,0.0007012782152742147,0.0007012782152742147,0.00016920285997912288,0.0
2712,Single Input Module,0.01213030144572258,0.01210579089820385,0.01210579089820385,-2.4510547518730164e-05,0.0
3307,Cascade,0.004838193766772747,0.004794069565832615,0.004794069565832615,-4.412420094013214e-05,0.0
249,Feedforward Loop,0.012251922860741615,0.012168695218861103,0.012168695218861103,-8.322764188051224e-05,0.0
3215,Cascade,0.0002018604427576065,0.00017677160212770104,0.00017677160212770104,-2.5088840629905462e-05,0.0
2762,Single Input Module,0.003860684111714363,0.003862538607791066,0.003862538607791066,1.8544960767030716e-06,0.0
2055,Single Input Module,6.812965148128569e-05,9.239514474757016e-05,9.239514474757016e-05,2.4265493266284466e-05,0.0
29,Feedforward Loop,0.001964064547792077,0.001759807812049985,0.001759807812049985,-0.00020425673574209213,0.0
3684,Cascade,0.00011482416448416188,0.00011284386710030958,0.00011284386710030958,-1.980297383852303e-06,0.0
2601,Single Input Module,,,,,
1786,Feedback Loop,0.0008641965105198324,0.0006834571831859648,0.0006834571831859648,-0.00018073932733386755,0.0
1852,Feedback Loop,0.00908978283405304,0.014099514111876488,0.014225522056221962,0.005009731277823448,0.00012600794434547424
2794,Single Input Module,0.0059044319204986095,0.005902806296944618,0.005902806296944618,-1.6256235539913177e-06,0.0
80,Feedforward Loop,0.006855026353150606,0.007074996829032898,0.007074996829032898,0.0002199704758822918,0.0
952,Feedforward Loop,0.004588153213262558,0.004361427389085293,0.004361427389085293,-0.00022672582417726517,0.0
588,Feedforward Loop,0.0029597182292491198,0.002908294554799795,0.002908294554799795,-5.142367444932461e-05,0.0
3951,Cascade,7.794067641953006e-05,7.794067641953006e-05,7.794067641953006e-05,0.0,0.0
550,Feedforward Loop,0.007204911205917597,0.007301331497728825,0.007301331497728825,9.64202918112278e-05,0.0
1205,Feedback Loop,0.002280325395986438,0.0027402990963310003,0.0027574077248573303,0.00045997370034456253,1.7108628526329994e-05
3989,Cascade,0.00010212576307822019,7.097857451299205e-05,1.2619807421287987e-05,-3.1147188565228134e-05,-5.835876709170407e-05
2217,Single Input Module,0.0001734505785861984,0.0001394353894283995,0.0001394353894283995,-3.4015189157798886e-05,0.0
3602,Cascade,0.005598533432930708,0.005673587322235107,0.005673587322235107,7.505388930439949e-05,0.0
58,Feedforward Loop,0.0016360994195565581,0.0015359086683019996,0.0015359086683019996,-0.00010019075125455856,0.0
3553,Cascade,0.006778339389711618,0.007053529843688011,0.007050774991512299,0.00027519045397639275,-2.7548521757125854e-06
3306,Cascade,0.003559728153049946,0.0035930704325437546,0.0036008430179208517,3.3342279493808746e-05,7.77258537709713e-06
136,Feedforward Loop,0.006653423421084881,0.006533853709697723,0.006533853709697723,-0.00011956971138715744,0.0
1822,Feedback Loop,0.006870388053357601,0.006774125620722771,0.006774125620722771,-9.626243263483047e-05,0.0
2830,Single Input Module,0.0001972564496099949,0.00018099475710187107,0.00018099475710187107,-1.6261692508123815e-05,0.0
3426,Cascade,0.0003206873661838472,0.0003204231325071305,0.0003204231325071305,-2.642336767166853e-07,0.0
649,Feedforward Loop,0.0009886083425953984,0.0008829011349007487,0.0008829011349007487,-0.0001057072076946497,0.0
2200,Single Input Module,0.01072111539542675,0.010678635910153389,0.010678635910153389,-4.2479485273361206e-05,0.0
1908,Feedback Loop,0.004105104599148035,0.007469687145203352,0.007374954875558615,0.003364582546055317,-9.473226964473724e-05
2827,Single Input Module,0.0002759259077720344,0.00029114974313415587,0.00029114974313415587,1.5223835362121463e-05,0.0
1295,Feedback Loop,0.004502411466091871,0.0047402954660356045,0.005187181755900383,0.00023788399994373322,0.0004468862898647785
97,Feedforward Loop,0.000686370418407023,0.0006422634469345212,0.0006422634469345212,-4.4106971472501755e-05,0.0
827,Feedforward Loop,0.0005688739474862814,0.0005624154582619667,0.0005624154582619667,-6.45848922431469e-06,0.0
3313,Cascade,0.0020362178329378366,0.0018681524088606238,0.0018681524088606238,-0.0001680654240772128,0.0
2535,Single Input Module,0.0015997871523723006,0.0015272519085556269,0.0015272519085556269,-7.253524381667376e-05,0.0
1210,Feedback Loop,0.008503379300236702,0.008881294168531895,0.008861932903528214,0.0003779148682951927,-1.9361265003681183e-05
3519,Cascade,0.0032153327483683825,0.0031723284628242254,0.0031723284628242254,-4.300428554415703e-05,0.0
776,Feedforward Loop,0.004076233133673668,0.004153136629611254,0.004153136629611254,7.690349593758583e-05,0.0
918,Feedforward Loop,0.003340210998430848,0.003577631898224354,0.003577631898224354,0.00023742089979350567,0.0
3667,Cascade,,,,,
