graph_id,Loss (Original),Loss (Full SAE),Loss (Ablated),SAE Degradation,Ablation Impact,Total Impact
4367,0.006467680912464857,0.006465335842221975,0.006542654242366552,-2.345070242881775e-06,7.731840014457703e-05,7.497332990169525e-05
4185,,,,,,
4460,0.00996402371674776,0.00996085349470377,0.009195106104016304,-3.170222043991089e-06,-0.0007657473906874657,-0.0007689176127314568
4416,0.003002564422786236,0.0030453314539045095,0.0031813345849514008,4.2767031118273735e-05,0.0001360031310468912,0.00017877016216516495
3778,0.005470588803291321,0.005470588803291321,0.005470588803291321,0.0,0.0,0.0
4808,,,,,,
2648,0.0030895862728357315,0.003089573234319687,0.0030904265586286783,-1.30385160446167e-08,8.533243089914322e-07,8.402857929468155e-07
4371,0.01732851378619671,0.017391512170433998,0.01839226670563221,6.299838423728943e-05,0.0010007545351982117,0.001063752919435501
2534,0.003467814764007926,0.0034678431693464518,0.0034759400878101587,2.8405338525772095e-08,8.09691846370697e-06,8.125323802232742e-06
2383,3.8072714232839644e-05,3.805343294516206e-05,3.8801099435659125e-05,-1.928128767758608e-08,7.476664904970676e-07,7.283852028194815e-07
2882,0.00024970306549221277,0.00024973793188109994,0.00025879143504425883,3.486638888716698e-08,9.053503163158894e-06,9.08836955204606e-06
2616,0.00011611205991357565,0.00011643924517557025,0.00010431944974698126,3.271852619946003e-07,-1.2119795428588986e-05,-1.1792610166594386e-05
375,0.010383649729192257,0.010383515618741512,0.010391115210950375,-1.341104507446289e-07,7.599592208862305e-06,7.465481758117676e-06
764,0.0005473532946780324,0.0005472134798765182,0.0005526067689061165,-1.398148015141487e-07,5.393289029598236e-06,5.253474228084087e-06
2769,0.0003376681124791503,0.0003376681124791503,0.0003376681124791503,0.0,0.0,0.0
485,,,,,,
2046,0.010590655729174614,0.010590480640530586,0.010597280226647854,-1.7508864402770996e-07,6.799586117267609e-06,6.624497473239899e-06
3368,0.0036829907912760973,0.0036840096581727266,0.00366748939268291,1.0188668966293335e-06,-1.6520265489816666e-05,-1.5501398593187332e-05
4991,0.01637446880340576,0.016515817493200302,0.015212686732411385,0.0001413486897945404,-0.0013031307607889175,-0.0011617820709943771
4307,0.01587083749473095,0.016028977930545807,0.0194257739931345,0.00015814043581485748,0.0033967960625886917,0.003554936498403549
3558,0.001107711810618639,0.0011076800292357802,0.0011003175750374794,-3.1781382858753204e-08,-7.3624541983008385e-06,-7.394235581159592e-06
3142,0.0072548179887235165,0.0072527360171079636,0.007293181959539652,-2.0819716155529022e-06,4.044594243168831e-05,3.8363970816135406e-05
3606,0.0032645254395902157,0.003265674691647291,0.003325410420075059,1.1492520570755005e-06,5.9735728427767754e-05,6.0884980484843254e-05
4913,0.032463353127241135,0.03234729543328285,0.03206551447510719,-0.00011605769395828247,-0.0002817809581756592,-0.00039783865213394165
2529,0.00017954959184862673,0.00017991296772379428,0.00016635465726722032,3.6337587516754866e-07,-1.3558310456573963e-05,-1.3194934581406415e-05
1508,0.00324367661960423,0.0032542773988097906,0.0035457902122288942,1.0600779205560684e-05,0.0002915128134191036,0.0003021135926246643
1056,0.0048225149512290955,0.004854713566601276,0.004692970309406519,3.219861537218094e-05,-0.00016174325719475746,-0.00012954464182257652
3232,0.002868345472961664,0.00286653870716691,0.002905462635681033,-1.8067657947540283e-06,3.892392851412296e-05,3.7117162719368935e-05
3863,0.0006733356276527047,0.0006731887115165591,0.0006502589676529169,-1.4691613614559174e-07,-2.2929743863642216e-05,-2.3076659999787807e-05
888,4.584380076266825e-05,4.591719698510133e-05,3.430255674174987e-05,7.339622243307531e-08,-1.161464024335146e-05,-1.1541244020918384e-05
1626,0.003717080457136035,0.0037171293515712023,0.006156210321933031,4.889443516731262e-08,0.002439080970361829,0.002439129864796996
1735,0.0081296656280756,0.00812267791479826,0.008586538955569267,-6.987713277339935e-06,0.00046386104077100754,0.0004568733274936676
867,8.503880235366523e-05,8.538368274457753e-05,8.505999721819535e-05,3.448803909122944e-07,-3.2368552638217807e-07,2.119486453011632e-08
2853,4.192024061921984e-05,4.232876017340459e-05,2.8008085791952908e-05,4.085195541847497e-07,-1.4320674381451681e-05,-1.3912154827266932e-05
3545,0.004305119160562754,0.00430529098957777,0.004302259534597397,1.7182901501655579e-07,-3.0314549803733826e-06,-2.8596259653568268e-06
4722,0.007534502539783716,0.007341063115745783,0.006515782326459885,-0.00019343942403793335,-0.0008252807892858982,-0.0010187202133238316
3900,0.0012292689643800259,0.0012285944540053606,0.0012506169732660055,-6.745103746652603e-07,2.2022519260644913e-05,2.1348008885979652e-05
4210,0.02037925273180008,0.020318008959293365,0.01991264335811138,-6.124377250671387e-05,-0.00040536560118198395,-0.0004666093736886978
4950,0.04550718516111374,0.04550718516111374,0.04550718516111374,0.0,0.0,0.0
2260,0.00011833338066935539,0.00011863507825182751,0.00010734368697740138,3.0169758247211576e-07,-1.1291391274426132e-05,-1.0989693691954017e-05
49,0.007521227467805147,0.007521387655287981,0.007515231613069773,1.601874828338623e-07,-6.156042218208313e-06,-5.995854735374451e-06
760,0.0080326609313488,0.008032608777284622,0.008019880391657352,-5.21540641784668e-08,-1.2728385627269745e-05,-1.2780539691448212e-05
4624,0.0009046157938428223,0.0009057527640834451,0.0009065924677997828,1.1369702406227589e-06,8.397037163376808e-07,1.9766739569604397e-06
1630,0.015830885618925095,0.015819121152162552,0.015423045493662357,-1.1764466762542725e-05,-0.00039607565850019455,-0.0004078401252627373
4629,0.005424420814961195,0.005407461430877447,0.005639879498630762,-1.6959384083747864e-05,0.00023241806775331497,0.0002154586836695671
4853,0.026070691645145416,0.026032328605651855,0.025810236111283302,-3.836303949356079e-05,-0.00022209249436855316,-0.00026045553386211395
3590,0.004893083591014147,0.004893625620752573,0.004968571476638317,5.420297384262085e-07,7.49458558857441e-05,7.54878856241703e-05
446,0.0008737610769458115,0.0008750497363507748,0.0008531695348210633,1.288659404963255e-06,-2.1880201529711485e-05,-2.059154212474823e-05
3414,,,,,,
4885,0.013394122011959553,0.013270390219986439,0.013365755788981915,-0.00012373179197311401,9.536556899547577e-05,-2.8366222977638245e-05
4720,0.003983681555837393,0.003995135426521301,0.004001114051789045,1.1453870683908463e-05,5.978625267744064e-06,1.7432495951652527e-05
261,0.006129125598818064,0.006128386594355106,0.0061636329628527164,-7.390044629573822e-07,3.524636849761009e-05,3.450736403465271e-05
752,0.0030481000430881977,0.003048764541745186,0.003028520382940769,6.644986569881439e-07,-2.0244158804416656e-05,-1.9579660147428513e-05
3066,0.003785147098824382,0.0037868833169341087,0.003591672983020544,1.7362181097269058e-06,-0.00019521033391356468,-0.00019347411580383778
1194,0.007296053227037191,0.0072895800694823265,0.00719514349475503,-6.473157554864883e-06,-9.443657472729683e-05,-0.00010090973228216171
3775,0.0036855314392596483,0.003678829176351428,0.003850554581731558,-6.702262908220291e-06,0.00017172540538012981,0.00016502314247190952
809,0.006000857800245285,0.00600140867754817,0.005990289151668549,5.508773028850555e-07,-1.1119525879621506e-05,-1.056864857673645e-05
3504,0.001698095933534205,0.0016985790571197867,0.0016802889294922352,4.831235855817795e-07,-1.8290127627551556e-05,-1.7807004041969776e-05
