graph_id,experiment,n_ablated_features,ablated_features,reconstruction_mse,latent_change_mean,n_affected_nodes,total_nodes,gnn_output_mse
4367,latent512_k32_ablate_z361,1,z361,5.238134690443985e-07,5.928409336775076e-06,5,10,5.475699182966309e-08
4185,latent512_k32_ablate_z361,1,z361,1.2326479463808937e-06,3.263749476900557e-06,2,10,2.1461536903188971e-07
4460,latent512_k32_ablate_z361,1,z361,1.797665959202277e-06,4.1023690755537245e-06,3,10,1.2543249567897874e-06
4416,latent512_k32_ablate_z361,1,z361,3.5687349964064197e-07,1.8128245073967264e-06,2,10,8.40460359086137e-08
3778,latent512_k32_ablate_z361,1,z361,7.690182712849492e-08,2.0411634977790527e-06,4,10,1.3865208980945454e-09
4808,latent512_k32_ablate_z361,1,z361,4.3046694031545485e-07,5.026645339967217e-06,3,10,1.550974459973986e-08
2648,latent512_k32_ablate_z361,1,z361,2.7212688991085088e-08,1.5367456853709882e-06,3,10,1.298516849601583e-12
4371,latent512_k32_ablate_z361,1,z361,2.1537682641792344e-06,3.3764802083169343e-06,2,10,4.533670221462671e-07
2534,latent512_k32_ablate_z361,1,z361,6.142094832739531e-08,3.2000577903090743e-06,4,10,3.470397233473754e-11
2383,latent512_k32_ablate_z361,1,z361,1.4867893582959368e-08,0.0,0,10,1.899280645950574e-12
2882,latent512_k32_ablate_z361,1,z361,9.484070417897783e-09,6.876309157632932e-07,2,10,1.6823075918437347e-11
2616,latent512_k32_ablate_z361,1,z361,2.7757886655876973e-08,1.2009829788439674e-06,2,10,1.759481449425948e-12
375,latent512_k32_ablate_z361,1,z361,2.0165194314358814e-07,4.201939191261772e-06,3,10,1.0653282700445743e-09
764,latent512_k32_ablate_z361,1,z361,7.117206735074433e-08,1.7493373434263049e-06,4,10,1.8095294707087817e-10
2769,latent512_k32_ablate_z361,1,z361,1.742521860137458e-08,1.0051844583358616e-06,3,10,5.205613501021999e-13
485,latent512_k32_ablate_z361,1,z361,5.606572273109123e-08,1.5685669723097817e-06,2,10,1.0446064013791556e-09
2046,latent512_k32_ablate_z361,1,z361,2.172536106570533e-08,1.2300261005293578e-06,4,10,1.0632383645389765e-12
3368,latent512_k32_ablate_z361,1,z361,1.1033466762455646e-07,2.381661943218205e-06,3,10,4.4214623629024175e-10
4991,latent512_k32_ablate_z361,1,z361,3.7368513403635006e-06,5.514109489013208e-06,2,10,1.7553345514897956e-06
4307,latent512_k32_ablate_z361,1,z361,1.0359673979110084e-05,1.0589307748887222e-05,4,10,7.352019565587398e-06
3558,latent512_k32_ablate_z361,1,z361,8.256746752977051e-08,1.8705311504163546e-06,2,10,7.899827458857089e-10
3142,latent512_k32_ablate_z361,1,z361,2.036876196598314e-07,4.700798399426276e-06,5,10,1.810025240800428e-09
3606,latent512_k32_ablate_z361,1,z361,2.615886387502542e-07,5.323511686583515e-06,3,10,1.5583354606718558e-09
