graph_id,Motif,Loss (Original),Loss (Full SAE),Loss (Ablated),SAE Degradation,Ablation Impact
3397,Cascade,0.006401923485100269,0.006253519561141729,0.006199198309332132,-0.00014840392395853996,-5.4321251809597015e-05
944,Feedforward Loop,0.0032855297904461622,0.0034283515997231007,0.0034834183752536774,0.00014282180927693844,5.5066775530576706e-05
1132,Feedback Loop,0.004718108102679253,0.004971689078956842,0.005091927945613861,0.0002535809762775898,0.00012023886665701866
3776,Cascade,0.0032340914476662874,0.003229041351005435,0.0032246175687760115,-5.050096660852432e-06,-4.423782229423523e-06
2201,Single Input Module,0.0005558812408708036,0.0005650598905049264,0.0005709707620553672,9.178649634122849e-06,5.910871550440788e-06
1682,Feedback Loop,0.002509788842871785,0.0026864088140428066,0.002739101182669401,0.00017661997117102146,5.2692368626594543e-05
3552,Cascade,0.00735851563513279,0.007448412477970123,0.007498890161514282,8.989684283733368e-05,5.0477683544158936e-05
3842,Cascade,0.006516990717500448,0.0063550774939358234,0.006307445466518402,-0.00016191322356462479,-4.763202741742134e-05
2374,Single Input Module,0.011918461881577969,0.011926823295652866,0.011931822635233402,8.361414074897766e-06,4.999339580535889e-06
433,Feedforward Loop,0.0028915507718920708,0.0028582990635186434,0.0028492563869804144,-3.325170837342739e-05,-9.042676538228989e-06
551,Feedforward Loop,0.00652424106374383,0.006633052136749029,0.006674035452306271,0.00010881107300519943,4.098331555724144e-05
1366,Feedback Loop,0.0025108749978244305,0.0027962224557995796,0.002876946236938238,0.00028534745797514915,8.072378113865852e-05
2831,Single Input Module,0.001298317569307983,0.0013013501884415746,0.0013046081876382232,3.032619133591652e-06,3.2579991966485977e-06
1451,Feedback Loop,0.006577994674444199,0.008842614479362965,0.009149063378572464,0.002264619804918766,0.00030644889920949936
3009,Cascade,0.0022769728675484657,0.0021783309057354927,0.0021499120630323887,-9.864196181297302e-05,-2.841884270310402e-05
2899,Single Input Module,0.0005320753552950919,0.000663965882267803,0.0007145614363253117,0.00013189052697271109,5.059555405750871e-05
2712,Single Input Module,0.01213030144572258,0.01210814155638218,0.012105315923690796,-2.2159889340400696e-05,-2.825632691383362e-06
3307,Cascade,0.004838193766772747,0.00477072736248374,0.004756299778819084,-6.746640428900719e-05,-1.4427583664655685e-05
249,Feedforward Loop,0.012251922860741615,0.012185359373688698,0.012163243256509304,-6.656348705291748e-05,-2.211611717939377e-05
3215,Cascade,0.0002018604427576065,0.00018708311836235225,0.00018424041627440602,-1.4777324395254254e-05,-2.842702087946236e-06
2762,Single Input Module,0.003860684111714363,0.0038601767737418413,0.003863610327243805,-5.073379725217819e-07,3.4335535019636154e-06
2055,Single Input Module,6.812965148128569e-05,8.692842675372958e-05,9.435502579435706e-05,1.879877527244389e-05,7.4265990406274796e-06
29,Feedforward Loop,0.001964064547792077,0.001798170618712902,0.0017491409089416265,-0.000165893929079175,-4.902970977127552e-05
3684,Cascade,0.00011482416448416188,0.00011626573541434482,0.00011738284229068086,1.4415709301829338e-06,1.1171068763360381e-06
2601,Single Input Module,,,,,
1786,Feedback Loop,0.0008641965105198324,0.0007201905245892704,0.0006860556895844638,-0.00014400598593056202,-3.413483500480652e-05
1852,Feedback Loop,0.00908978283405304,0.011085892096161842,0.011646142229437828,0.001996109262108803,0.0005602501332759857
2794,Single Input Module,0.0059044319204986095,0.00590279046446085,0.00590285612270236,-1.6414560377597809e-06,6.565824151039124e-08
80,Feedforward Loop,0.006855026353150606,0.007028516381978989,0.007091299165040255,0.0001734900288283825,6.278278306126595e-05
952,Feedforward Loop,0.004588153213262558,0.004406319931149483,0.004347905982285738,-0.00018183328211307526,-5.8413948863744736e-05
588,Feedforward Loop,0.0029597182292491198,0.0029145837761461735,0.0029014586471021175,-4.513445310294628e-05,-1.3125129044055939e-05
3951,Cascade,7.794067641953006e-05,7.794067641953006e-05,7.794067641953006e-05,0.0,0.0
550,Feedforward Loop,0.007204911205917597,0.007278497330844402,0.007306443993002176,7.35861249268055e-05,2.794666215777397e-05
1205,Feedback Loop,0.002280325395986438,0.002426543040201068,0.002533210441470146,0.00014621764421463013,0.00010666740126907825
3989,Cascade,0.00010212576307822019,3.473444849078078e-06,8.86456200532848e-06,-9.865231822914211e-05,5.391117156250402e-06
2217,Single Input Module,0.0001734505785861984,0.00014624228060711175,0.0001370945101371035,-2.7208297979086637e-05,-9.147770470008254e-06
3602,Cascade,0.005598533432930708,0.005563806276768446,0.005546580534428358,-3.472715616226196e-05,-1.722574234008789e-05
58,Feedforward Loop,0.0016360994195565581,0.0015595505246892571,0.00153579271864146,-7.654889486730099e-05,-2.3757806047797203e-05
3553,Cascade,0.006778339389711618,0.00694587966427207,0.0070127882063388824,0.0001675402745604515,6.690854206681252e-05
3306,Cascade,0.003559728153049946,0.003673293860629201,0.003697776235640049,0.0001135657075792551,2.4482375010848045e-05
136,Feedforward Loop,0.006653423421084881,0.006564424838870764,0.0065344856120646,-8.899858221411705e-05,-2.9939226806163788e-05
1822,Feedback Loop,0.006870388053357601,0.006458671297878027,0.006390869617462158,-0.0004117167554795742,-6.780168041586876e-05
2830,Single Input Module,0.0001972564496099949,0.00018302255193702877,0.00018045709293801337,-1.4233897672966123e-05,-2.565458999015391e-06
3426,Cascade,0.0003206873661838472,0.00033285366953350604,0.0003347343299537897,1.2166303349658847e-05,1.8806604202836752e-06
649,Feedforward Loop,0.0009886083425953984,0.0009231254807673395,0.0009032698580995202,-6.548286182805896e-05,-1.985562266781926e-05
2200,Single Input Module,0.01072111539542675,0.01068639662116766,0.010676063597202301,-3.4718774259090424e-05,-1.0333023965358734e-05
1908,Feedback Loop,0.004105104599148035,0.005142601206898689,0.005369965452700853,0.0010374966077506542,0.00022736424580216408
2827,Single Input Module,0.0002759259077720344,0.00028739793924614787,0.0002925321168731898,1.1472031474113464e-05,5.134177627041936e-06
1295,Feedback Loop,0.004502411466091871,0.005494287703186274,0.005656195338815451,0.0009918762370944023,0.0001619076356291771
