graph_id,Motif,Loss (Original),Loss (Full SAE),Loss (Ablated),SAE Degradation,Ablation Impact
3397,Cascade,0.006401923485100269,0.006253519561141729,0.006251777056604624,-0.00014840392395853996,-1.7425045371055603e-06
944,Feedforward Loop,0.0032855297904461622,0.0034283515997231007,0.0034170574508607388,0.00014282180927693844,-1.1294148862361908e-05
1132,Feedback Loop,0.004718108102679253,0.004971689078956842,0.005078491289168596,0.0002535809762775898,0.00010680221021175385
3776,Cascade,0.0032340914476662874,0.003229041351005435,0.0032246550545096397,-5.050096660852432e-06,-4.38629649579525e-06
2201,Single Input Module,0.0005558812408708036,0.0005650598905049264,0.000563741778023541,9.178649634122849e-06,-1.3181124813854694e-06
1682,Feedback Loop,0.002509788842871785,0.0026864088140428066,0.0026700831949710846,0.00017661997117102146,-1.632561907172203e-05
3552,Cascade,0.00735851563513279,0.007448412477970123,0.0074438489973545074,8.989684283733368e-05,-4.563480615615845e-06
3842,Cascade,0.006516990717500448,0.0063550774939358234,0.00636585196480155,-0.00016191322356462479,1.0774470865726471e-05
2374,Single Input Module,0.011918461881577969,0.011926823295652866,0.01192568987607956,8.361414074897766e-06,-1.1334195733070374e-06
433,Feedforward Loop,0.0028915507718920708,0.0028582990635186434,0.0028600457590073347,-3.325170837342739e-05,1.74669548869133e-06
551,Feedforward Loop,0.00652424106374383,0.006633052136749029,0.006622514687478542,0.00010881107300519943,-1.0537449270486832e-05
1366,Feedback Loop,0.0025108749978244305,0.0027962224557995796,0.0028225048445165157,0.00028534745797514915,2.628238871693611e-05
2831,Single Input Module,0.001298317569307983,0.0013013501884415746,0.0013006865046918392,3.032619133591652e-06,-6.636837497353554e-07
1451,Feedback Loop,0.006577994674444199,0.008842614479362965,0.008303727023303509,0.002264619804918766,-0.0005388874560594559
3009,Cascade,0.0022769728675484657,0.0021783309057354927,0.0021880073472857475,-9.864196181297302e-05,9.676441550254822e-06
2899,Single Input Module,0.0005320753552950919,0.000663965882267803,0.0006510329549200833,0.00013189052697271109,-1.293292734771967e-05
2712,Single Input Module,0.01213030144572258,0.01210814155638218,0.012109322473406792,-2.2159889340400696e-05,1.1809170246124268e-06
3307,Cascade,0.004838193766772747,0.00477072736248374,0.004761725198477507,-6.746640428900719e-05,-9.002164006233215e-06
249,Feedforward Loop,0.012251922860741615,0.012185359373688698,0.012191479094326496,-6.656348705291748e-05,6.119720637798309e-06
3215,Cascade,0.0002018604427576065,0.00018708311836235225,0.00018900432041846216,-1.4777324395254254e-05,1.9212020561099052e-06
2762,Single Input Module,0.003860684111714363,0.0038601767737418413,0.00385959236882627,-5.073379725217819e-07,-5.844049155712128e-07
